ticker,company_name,total_value,unique_managers,quarters_active,buy_add_actions,sell_reduce_actions,net_activity,phase,current_shares,current_holders,buy_count,add_count,reduce_count,sell_count,_analysis_type,_generated,_periods,_window_quarters
GOOG,Alphabet Inc. CL C,18989902000.0,33,4,15,74,-59,Distributing,64766419.0,35.0,4,11,71,3,accumulation_vs_distribution,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
GOOGL,Alphabet Inc.,31825415000.0,37,4,24,69,-45,Distributing,110169302.0,40.0,7,17,66,3,accumulation_vs_distribution,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
BAC,Bank of America Corp.,26719674000.0,19,4,5,44,-39,Distributing,548086940.0,16.0,0,5,40,4,accumulation_vs_distribution,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
COF,Capital One Financial,8969457000.0,18,3,7,42,-35,Distributing,49157158.0,16.0,1,6,38,4,accumulation_vs_distribution,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
AXP,American Express,46837611000.0,14,4,4,34,-30,Distributing,154778160.0,15.0,1,3,33,1,accumulation_vs_distribution,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
WFC,Wells Fargo,5046159000.0,12,4,4,32,-28,Distributing,63369805.0,15.0,0,4,32,0,accumulation_vs_distribution,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
TSM,Taiwan Semiconductor S.A.,7203702000.0,22,4,18,43,-25,Distributing,21257529.0,24.0,3,15,42,1,accumulation_vs_distribution,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
MSFT,Microsoft Corp.,15818122000.0,43,4,45,69,-24,Distributing,42725583.0,39.0,3,42,65,4,accumulation_vs_distribution,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
MA,Mastercard Inc.,4789957000.0,20,4,12,35,-23,Distributing,9569389.0,20.0,4,8,33,2,accumulation_vs_distribution,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
C,Citigroup Inc.,2757817000.0,9,3,1,24,-23,Distributing,24317220.0,8.0,0,1,23,1,accumulation_vs_distribution,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
JPM,JPMorgan Chase & Co.,1603483000.0,14,4,10,30,-20,Distributing,5406976.0,16.0,0,10,30,0,accumulation_vs_distribution,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
META,Meta Platforms Inc.,13358355000.0,32,4,33,52,-19,Distributing,23352556.0,29.0,5,28,46,6,accumulation_vs_distribution,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
AAPL,Apple Inc.,67371990000.0,21,4,17,36,-19,Distributing,265263411.0,24.0,3,14,34,2,accumulation_vs_distribution,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
GS,Goldman Sachs Group,1583317000.0,7,4,1,20,-19,Distributing,1796968.0,6.0,0,1,17,3,accumulation_vs_distribution,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
