manager,total_value,avg_portfolio_pct,position_count,avg_position_value,position_value_std,concentration_ratio,top_holding,top_holding_value,top_holding_pct,diversification_score,first_year,years_active,_analysis_type,_generated,_periods,_window_quarters
Warren Buffett,263095705000,3.45,29,9072265689.655172,14412502280.478666,1.5886331786901702,AAPL,57843261000,21.99,31.59212751600433,2009.0,17.0,manager_performance,2026-08-01,Q2 2026,1
Dodge & Cox Funds,181772077000,0.5,200,908860385.0,1368127268.0232537,1.5053217090359303,JCI,7530439000,4.14,100.0,2024.0,2.0,manager_performance,2026-08-01,Q2 2026,1
Bill Nygren,74879238000,0.64,156,479995115.38461536,656342998.613662,1.367395162110641,CRM,2784742000,3.72,88.95615565873406,2024.0,2.0,manager_performance,2026-08-01,Q2 2026,1
First Eagle Investment Management,58182523000,0.49,200,290912615.0,467147404.91087145,1.605799751622567,GOOG,2124097000,3.61,100.0,2025.0,1.0,manager_performance,2026-08-01,Q2 2026,1
Chris Hohn,45170871000,10.0,10,4517087100.0,4235020099.672529,0.9375555542580812,GE,13482035000,29.85,25.5284270088774,2016.0,10.0,manager_performance,2026-08-01,Q2 2026,1
Viking Global Investors,35748673000,1.3,77,464268480.5194805,404589787.7289972,0.8714565056759668,V,1912631000,5.35,60.22529507178638,2023.0,3.0,manager_performance,2026-08-01,Q2 2026,1
Bill & Melinda Gates Foundation Trust,31665506000,4.54,22,1439341181.8181818,2375509512.110285,1.6504144688679938,BRK.B,8169547000,25.8,27.37898438994455,2007.0,19.0,manager_performance,2026-08-01,Q2 2026,1
Richard Pzena,30791977000,0.64,156,197384467.94871795,323034594.1521198,1.6365755497846304,MGA,1967838000,6.39,86.8613957385369,2024.0,2.0,manager_performance,2026-08-01,Q2 2026,1
Chase Coleman,22845413000,1.85,54,423063203.7037037,657242485.3465749,1.553532615440791,GOOGL,3057166000,13.38,44.33443031907834,2020.0,6.0,manager_performance,2026-08-01,Q2 2026,1
Christopher Davis,21781442000,0.89,112,194477160.7142857,318287023.9220617,1.6366293232225355,COF,1557906000,7.15,69.0331636788191,2023.0,3.0,manager_performance,2026-08-01,Q2 2026,1
Duan Yongping,20003997000,5.26,19,1052841947.3684212,1906124215.914718,1.81045618545032,AAPL,7346106000,36.72,22.258423659514584,2022.0,4.0,manager_performance,2026-08-01,Q2 2026,1
Polen Capital Management,14449019000,0.5,200,72245095.0,200724224.16912565,2.7783785760005664,MSFT,1053462000,7.29,100.0,2025.0,1.0,manager_performance,2026-08-01,Q2 2026,1
Bill Ackman,13714300000,9.09,11,1246754545.4545455,1000825163.2977026,0.8027443468696709,BN,2415946000,17.62,30.755294730499493,2007.0,19.0,manager_performance,2026-08-01,Q2 2026,1
Thomas Gayner,13130485000,0.77,130,101003730.76923075,160544982.16522,1.589495565584866,GOOG,971608000,7.4,76.36526795670498,2021.0,5.0,manager_performance,2026-08-01,Q2 2026,1
Terry Smith,12827766000,2.94,34,377287235.2941176,393833312.49316233,1.0438553856351542,MAR,1102511000,8.59,40.7011422065618,2018.0,8.0,manager_performance,2026-08-01,Q2 2026,1
