manager,manager,years_active,first_year,last_year,total_actions,current_holdings,buy_actions,sell_actions,add_actions,reduce_actions,consistency_score,2022_inflation_actions,2022_inflation_buy_ratio,total_crisis_actions,crisis_buying_ratio,2008_financial_actions,2008_financial_buy_ratio,2020_covid_actions,2020_covid_buy_ratio,current_portfolio_value,estimated_initial_value,total_return_pct,annualized_return_pct,track_record_score
FPPTX,FPA Queens Road Small Cap Value Fund,12,2014,2025,1000,51,117,0,442,346,0.7920699418292076,64.0,0.703125,107,0.5887850467289719,,,43.0,0.4186046511627907,870385000,277331484.27282864,213.84,17.82,30.329249303873876
LLPFX,Mason Hawkins,19,2007,2025,772,17,85,0,203,390,0.731871195056776,36.0,0.4722222222222222,115,0.4869565217391304,52.0,0.5384615384615384,27.0,0.4074074074074074,927460000,151647121.1719993,511.59,26.93,30.206989118526824
DA,Pat Dorsey,9,2017,2025,345,11,30,0,154,136,0.7464057987579533,32.0,0.9375,51,0.7450980392156863,,,19.0,0.4210526315789473,943611000,400183177.77007854,135.79,15.09,30.079096367315927
WVALX,Wallace Weitz,17,2009,2025,1000,27,97,0,291,506,0.7382030844337543,44.0,0.4318181818181818,97,0.3917525773195876,23.0,0.3478260869565217,30.0,0.3666666666666666,844183000,167017106.12612262,405.45,23.85,28.781587461870963
VA,ValueAct Capital,14,2012,2025,581,14,105,0,207,164,0.6945068934237018,28.0,0.5357142857142857,56,0.5535714285714286,,,28.0,0.5714285714285714,4581516000,1206456354.903373,279.75,19.98,28.625852154188323
ic,Carl Icahn,13,2013,2025,304,14,49,0,122,79,0.6616849211652787,20.0,0.6,33,0.6363636363636364,,,13.0,0.6923076923076923,7487556000,2168878264.4837146,245.23,18.86,28.49733478694193
BRK,Warren Buffett,18,2008,2025,1000,36,124,0,366,385,0.6860850621023362,51.0,0.6274509803921569,141,0.425531914893617,46.0,0.4347826086956521,44.0,0.1818181818181818,258701151000,46529675966.98074,455.99,25.33,28.37702039098289
CCM,Glenn Greenberg,16,2010,2025,1000,35,122,0,306,466,0.6492142154153526,58.0,0.5344827586206896,95,0.5473684210526316,,,37.0,0.5675675675675675,4366365000,950248241.4943516,359.5,22.47,28.25796851883337
TWEBX,Tweedy Browne Co.,19,2007,2025,933,83,208,0,210,349,0.5499871228613827,68.0,0.5735294117647058,179,0.6089385474860335,80.0,0.675,31.0,0.5161290322580645,408605000,66810182.59168565,511.59,26.93,27.78912793208799
hcmax,Hillman Value Fund,19,2007,2025,1000,38,202,0,283,331,0.6315648707785257,41.0,0.5609756097560976,137,0.437956204379562,66.0,0.1818181818181818,30.0,0.8333333333333334,114750000,18762541.947347507,511.59,26.93,27.710859459366134
