ticker,company_name,top_managers,managers_shown,manager_count,total_value,avg_portfolio_pct,total_shares,max_portfolio_pct,consensus_score,first_period,latest_period,recent_buyers,_analysis_type,_generated,_periods,_window_quarters
AMZN,Amazon.com Inc.,"AltaRock Partners, Viking Global Investors, Glenn Greenberg, Bill Ackman, Daniel Loeb, +29 more",5,34,20776721000,7.03,87172409,32.21,239.16,Q1 2019,Q4 2025,24.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
GOOG,Alphabet Inc. CL C,"First Eagle Investment Management, Kahn Brothers Group, Glenn Greenberg, David Tepper, Duan Yongping, +29 more",5,34,30919831000,6.23,87509726,23.39,211.75,Q1 2017,Q4 2025,16.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BRK.B,Berkshire Hathaway CL B,"First Eagle Investment Management, Muhlenkamp, Duan Yongping, Christopher Bloomstran, Chuck Akre, +21 more",5,26,16239545000,7.62,32453758,33.89,198.14,Q1 2008,Q4 2025,13.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
GOOGL,Alphabet Inc.,"First Eagle Investment Management, AltaRock Partners, Glenn Greenberg, Daniel Loeb, Stephen Mandel, +31 more",5,36,43755497000,4.75,122437406,24.55,170.86,Q1 2013,Q4 2025,15.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
MSFT,Microsoft Corp.,"First Eagle Investment Management, Muhlenkamp, AltaRock Partners, Kahn Brothers Group, Viking Global Investors, +32 more",5,37,14687184000,3.94,39373656,20.54,145.91,Q1 2013,Q4 2025,33.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BRK.A,Berkshire Hathaway CL A,"First Eagle Investment Management, Christopher Bloomstran, Norbert Lou, Bruce Berkowitz, Francois Rochon, +12 more",5,17,3540571000,8.48,4728,42.42,144.12,Q1 2007,Q4 2025,3.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
V,Visa Inc.,"AltaRock Partners, Viking Global Investors, Glenn Greenberg, Bill Ackman, Stephen Mandel, +25 more",5,30,22570783000,4.68,65786773,19.83,140.47,Q1 2009,Q4 2025,21.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
META,Meta Platforms Inc.,"First Eagle Investment Management, Viking Global Investors, Glenn Greenberg, Bill Ackman, David Rolfe, +26 more",5,31,14823867000,4.18,26315988,20.45,129.56,Q1 2017,Q4 2025,24.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CVNA,Carvana Co.,"Viking Global Investors, Stephen Mandel, Lee Ainslie, Henry Ellenbogen, Clifford Sosin, +2 more",5,7,3722970000,17.37,56562902,78.85,121.59,Q1 2018,Q4 2025,6.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
MA,Mastercard Inc.,"AltaRock Partners, Glenn Greenberg, Bill Ackman, Valley Forge Capital Management, Christopher Bloomstran, +16 more",5,21,6148680000,5.54,11971727,20.01,116.35,Q1 2011,Q4 2025,13.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AAPL,Apple Inc.,"Muhlenkamp, Kahn Brothers Group, David Rolfe, Duan Yongping, Christopher Bloomstran, +17 more",5,22,74939400000,4.56,258983287,41.05,100.33,Q1 2013,Q4 2025,12.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
TSM,Taiwan Semiconductor S.A.,"First Eagle Investment Management, Viking Global Investors, Daniel Loeb, Stephen Mandel, David Rolfe, +19 more",5,24,9742601000,3.37,20400496,10.55,80.85,Q1 2020,Q4 2025,15.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
GE,GE Aerospace,"Christopher Bloomstran, Chris Hohn, Arnold Van Den Berg, Mairs & Power Funds, Dodge & Cox Funds, +5 more",5,10,20012627000,7.94,53548352,35.61,79.36,Q1 2011,Q4 2025,4.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
MCO,Moody's Corp.,"AltaRock Partners, Glenn Greenberg, Valley Forge Capital Management, Chuck Akre, Bill Nygren, +12 more",5,17,20032119000,4.57,44228825,19.14,77.77,Q1 2010,Q4 2025,7.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
TDG,TransDigm Group Inc.,"AltaRock Partners, Daniel Loeb, Stephen Mandel, Triple Frond Partners, Bryan Lawrence, +1 more",5,6,1710912000,10.27,1284430,27.51,61.61,Q1 2018,Q4 2025,3.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BN,Brookfield Corp.,"Bill Ackman, Stephen Mandel, Chuck Akre, Arnold Van Den Berg, Josh Tarasoff, +4 more",5,9,6435612000,6.71,151106127,16.29,60.39,Q1 2011,Q4 2025,3.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
SPGI,S&P Global Inc.,"Glenn Greenberg, Bill Ackman, Valley Forge Capital Management, David Rolfe, Christopher Bloomstran, +9 more",5,14,7846649000,4.28,19266930,19.92,59.89,Q1 2013,Q4 2025,12.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
ASML,ASML Holding NV,"Daniel Loeb, Stephen Mandel, Valley Forge Capital Management, David Tepper, Lee Ainslie, +4 more",5,9,2171288000,6.58,1091445,21.11,59.24,Q1 2023,Q4 2025,9.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
NVDA,NVIDIA Corp.,"David Tepper, Duan Yongping, Lee Ainslie, Bill Nygren, Chase Coleman, +13 more",5,18,7261980000,3.28,36293621,9.34,59.03,Q1 2020,Q4 2025,13.0,multi_manager_favorites,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
