ticker,company_name,manager,total_value,flip_quarter,flip_action,shares_at_flip,action_sequence,quarters_before_flip,quarters_after_flip,traceability_status,current_shares,still_held,_analysis_type,_generated,_periods,_window_quarters
ABEV,Ambev S.A.,Dodge & Cox Funds,793000.0,Q2 2026,Reduce 17.50%,53600,Add -> Add -> Reduce,3,0,matched,252700.0,True,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
ABNB,Airbnb Inc.,Bill Nygren,2699088000.0,Q2 2026,Reduce 1.57%,300684,Add -> Add -> Reduce,4,0,matched,18861551.0,True,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
ACHC,Acadia Healthcare Co.,Abrams Bison Investments,122992000.0,Q2 2026,Reduce 4.91%,215000,Add -> Add -> Reduce,2,0,matched,4165000.0,True,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
ACHC,Acadia Healthcare Co.,David Einhorn,129951000.0,Q2 2026,Reduce 2.61%,117740,Add -> Add -> Reduce,5,0,matched,4400641.0,True,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
ACN,Accenture,David Katz,1529000.0,Q2 2026,Reduce 62.77%,20720,Add -> Add -> Reduce,5,0,matched,12287.0,True,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
ACN,Accenture,Wallace Weitz,14895000.0,Q2 2026,Reduce 29.88%,51000,Add -> Add -> Reduce,8,0,matched,119700.0,True,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
ACWI,iShares MSCI ACWI ETF,Sarah Ketterer,1207000.0,Q2 2026,Reduce 50.13%,7730,Add -> Add -> Reduce,7,0,matched,7691.0,True,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
AEHR,Aehr Test Systems,Polen Capital Management,6355000.0,Q2 2026,Reduce 16.67%,13239,Add -> Add -> Reduce,2,0,no_timeline,66157.0,True,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
AGCO,AGCO Corp.,Christopher Davis,246362000.0,Q2 2026,Reduce 1.35%,28155,Add -> Add -> Reduce,8,0,matched,2058488.0,True,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
AGCO,AGCO Corp.,Tweedy Browne,0.0,Q2 2026,Sell 100.00%,16647,Add -> Add -> Sell,3,0,matched,0.0,False,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
AJG,Arthur J. Gallagher & Co.,John Rogers,4269000.0,Q2 2026,Reduce 5.90%,1167,Add -> Add -> Reduce,2,0,matched,18597.0,True,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
AMAT,Applied Materials,Chase Coleman,1180088000.0,Q2 2026,Reduce 1.49%,24690,Buy -> Add -> Reduce,3,0,matched,1632210.0,True,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
AAL,American Airlines Group Inc.,David Tepper,135525000.0,Q1 2026,Sell 100.00%,14150000,Buy -> Add -> Sell,1,1,matched,7500000.0,True,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
AAPL,Apple Inc.,Dodge & Cox Funds,9081000.0,Q1 2026,Reduce 0.63%,200,Add -> Add -> Reduce,3,1,matched,31382.0,True,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
AAPL,Apple Inc.,Mairs & Power Funds,329421000.0,Q1 2026,Reduce 0.75%,9088,Add -> Add -> Reduce,1,1,matched,1138448.0,True,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
AAPL,Apple Inc.,Muhlenkamp,17976000.0,Q1 2026,Reduce 0.45%,282,Add -> Add -> Reduce,7,1,matched,62125.0,True,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
ABNB,Airbnb Inc.,Chuck Akre,169394000.0,Q1 2026,Reduce 41.42%,1438770,Add -> Add -> Reduce,3,1,matched,1183749.0,True,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
ACMR,ACM Research Inc.,Mason Hawkins,17698000.0,Q1 2026,Reduce 53.40%,897281,Add -> Add -> Reduce,2,1,matched,139478.0,True,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
ACWI,iShares MSCI ACWI ETF,Polen Capital Management,18921000.0,Q1 2026,Reduce 49.78%,303718,Add -> Add -> Reduce,1,1,matched,120540.0,True,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
ACWX,iShares MSCI ACWI EX U.S. ETF,Polen Capital Management,2112000.0,Q1 2026,Reduce 79.74%,101085,Add -> Add -> Reduce,1,1,no_timeline,27755.0,True,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
ADBE,Adobe Inc.,William Von Mueffling,0.0,Q1 2026,Reduce 11.88%,137527,Add -> Add -> Reduce,14,1,matched,0.0,False,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
ADI,Analog Devices,Francois Rochon,37060000.0,Q1 2026,Reduce 3.22%,5695,Add -> Add -> Reduce,15,1,matched,93310.0,True,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
ADM,Archer-Daniels-Midland,Dodge & Cox Funds,1083530000.0,Q1 2026,Reduce 7.77%,1327505,Add -> Add -> Reduce,2,1,matched,14182325.0,True,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
ADPT,Adaptive Biotechnologies Corp.,Polen Capital Management,2198000.0,Q1 2026,Reduce 64.38%,209716,Add -> Add -> Reduce,1,1,no_timeline,102457.0,True,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
ABBV,AbbVie Inc.,Mairs & Power Funds,11249000.0,Q4 2025,Reduce 2.03%,965,Add -> Add -> Reduce,1,2,matched,44702.0,True,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
ABBV,AbbVie Inc.,Torray Funds,20786000.0,Q4 2025,Reduce 8.80%,8945,Add -> Add -> Reduce,8,2,matched,82602.0,True,position_flip_points,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025, Q1 2025, Q4 2024, Q3 2024",8
