manager,total_positions,avg_position_size,max_position_size,position_concentration,position_variance,small_positions_pct,medium_positions_pct,large_positions_pct,sizing_efficiency_score,total_portfolio_value,historical_activities,sizing_style,_analysis_type,_generated,_periods,_window_quarters
David Rolfe,18,5.556111111111111,10.4,44.44444444444444,2.392043524316024,0.0,55.55555555555556,44.44444444444444,80,484432000,1000,Concentrated,position_sizing_mastery,2026-09-01,Q2 2026,1
William Von Mueffling,27,3.7033333333333336,10.61,22.22222222222222,2.4506561130879594,18.51851851851852,59.25925925925925,22.22222222222222,75,665115000,1000,Balanced,position_sizing_mastery,2026-09-01,Q2 2026,1
Stephen Mandel,34,2.941764705882353,7.19,17.647058823529413,2.1242160344797374,35.294117647058826,47.05882352941176,17.647058823529413,65,16357763000,1000,Diversified,position_sizing_mastery,2026-09-01,Q2 2026,1
Muhlenkamp,28,3.5707142857142857,7.03,35.714285714285715,2.1971225771557714,25.0,39.285714285714285,35.714285714285715,65,345250000,270,High Conviction,position_sizing_mastery,2026-09-01,Q2 2026,1
Chuck Akre,19,5.2631578947368425,20.01,42.10526315789473,5.043767388935002,26.31578947368421,31.57894736842105,42.10526315789473,65,5106870000,1000,Concentrated,position_sizing_mastery,2026-09-01,Q2 2026,1
Seth Klarman,23,4.348695652173913,16.48,30.434782608695656,3.746163254642646,26.08695652173913,43.47826086956522,30.434782608695656,65,5415853000,1000,High Conviction,position_sizing_mastery,2026-09-01,Q2 2026,1
Henry Ellenbogen,36,2.7775,10.7,13.88888888888889,2.425536023232803,41.66666666666667,44.44444444444444,13.88888888888889,65,10282383000,664,Diversified,position_sizing_mastery,2026-09-01,Q2 2026,1
Samantha McLemore,39,2.5643589743589743,6.7,12.82051282051282,1.9376176295318448,41.02564102564102,46.15384615384615,12.82051282051282,65,3009566000,702,Diversified,position_sizing_mastery,2026-09-01,Q2 2026,1
AKO Capital,22,4.545454545454546,15.19,40.909090909090914,3.650276867871972,27.27272727272727,31.818181818181817,40.909090909090914,65,4292009000,759,Concentrated,position_sizing_mastery,2026-09-01,Q2 2026,1
Steven Check,16,6.250625,32.27,37.5,7.905794051411492,25.0,37.5,37.5,65,1735254000,313,High Conviction,position_sizing_mastery,2026-09-01,Q2 2026,1
Abrams Bison Investments,11,9.09,26.38,63.63636363636363,7.504934376795044,9.090909090909092,27.27272727272727,63.63636363636363,55,2048597000,69,Concentrated,position_sizing_mastery,2026-09-01,Q2 2026,1
David Tepper,25,3.999600000000001,15.95,28.000000000000004,4.4522966732537785,48.0,24.0,28.000000000000004,55,7471264000,1000,Balanced,position_sizing_mastery,2026-09-01,Q2 2026,1
Alex Roepers,12,8.333333333333334,17.47,66.66666666666666,5.141595672610407,0.0,33.33333333333333,66.66666666666666,55,191968000,940,Concentrated,position_sizing_mastery,2026-09-01,Q2 2026,1
Duan Yongping,18,5.555,41.05,27.77777777777778,10.67578141512505,61.11111111111112,11.11111111111111,27.77777777777778,55,19100583000,146,Balanced,position_sizing_mastery,2026-09-01,Q2 2026,1
Harry Burn,40,2.49975,3.97,0.0,0.7425820769622985,7.5,92.5,0.0,55,3247772000,1000,Systematic,position_sizing_mastery,2026-09-01,Q2 2026,1
David Abrams,11,9.090909090909092,47.15,45.45454545454545,13.234100992923889,18.181818181818183,36.36363636363637,45.45454545454545,55,5479746000,382,Concentrated,position_sizing_mastery,2026-09-01,Q2 2026,1
Greenhaven Associates,28,3.5710714285714293,11.82,25.0,3.843198262332805,46.42857142857143,28.57142857142857,25.0,55,8660706000,639,Balanced,position_sizing_mastery,2026-09-01,Q2 2026,1
Triple Frond Partners,13,7.69153846153846,21.11,61.53846153846154,5.277560746774729,7.6923076923076925,30.76923076923077,61.53846153846154,55,1120470000,216,Concentrated,position_sizing_mastery,2026-09-01,Q2 2026,1
Francis Chou,31,3.2261290322580645,29.73,19.35483870967742,5.6409288108841045,61.29032258064516,19.35483870967742,19.35483870967742,55,216592000,280,Balanced,position_sizing_mastery,2026-09-01,Q2 2026,1
Bill & Melinda Gates Foundation Trust,24,4.166250000000001,21.35,20.833333333333336,7.001473641468195,66.66666666666666,12.5,20.833333333333336,55,34424792000,649,Balanced,position_sizing_mastery,2026-09-01,Q2 2026,1
Warren Buffett,29,3.4482758620689653,22.04,17.24137931034483,5.422589042254841,58.620689655172406,24.13793103448276,17.24137931034483,55,299253558000,1000,Balanced,position_sizing_mastery,2026-09-01,Q2 2026,1
Josh Tarasoff,10,10.001,18.35,90.0,4.812376289896246,0.0,10.0,90.0,55,364214000,248,Concentrated,position_sizing_mastery,2026-09-01,Q2 2026,1
Prem Watsa,32,3.1240625,21.55,21.875,5.382753138571975,68.75,9.375,21.875,55,2638454000,1000,Balanced,position_sizing_mastery,2026-09-01,Q2 2026,1
Dennis Hong,11,9.090909090909092,16.92,81.81818181818183,4.602537244923618,0.0,18.181818181818183,81.81818181818183,55,232082000,227,Concentrated,position_sizing_mastery,2026-09-01,Q2 2026,1
Pat Dorsey,11,9.09,16.61,100.0,3.347157002591901,0.0,0.0,100.0,50,1561409000,403,Concentrated,position_sizing_mastery,2026-09-01,Q2 2026,1
Glenn Greenberg,40,2.49925,11.94,22.5,3.369102739488776,60.0,17.5,22.5,45,4588428000,1000,Diversified,position_sizing_mastery,2026-09-01,Q2 2026,1
Kahn Brothers Group,47,2.127659574468086,18.5,14.893617021276595,3.815480602678672,70.2127659574468,14.893617021276595,14.893617021276595,45,632676000,1000,Diversified,position_sizing_mastery,2026-09-01,Q2 2026,1
Chase Coleman,46,2.173695652173913,9.72,15.217391304347828,2.78021610566569,65.21739130434783,19.565217391304348,15.217391304347828,45,23981508000,1000,Diversified,position_sizing_mastery,2026-09-01,Q2 2026,1
John Armitage,23,4.348260869565218,14.13,34.78260869565217,3.5901274378164976,34.78260869565217,30.434782608695656,34.78260869565217,45,10351358000,950,High Conviction,position_sizing_mastery,2026-09-01,Q2 2026,1
Vulcan Value Partners,36,2.776944444444444,11.28,25.0,3.326486623145846,66.66666666666666,8.333333333333332,25.0,45,3285170000,399,Diversified,position_sizing_mastery,2026-09-01,Q2 2026,1
Daniel Loeb,38,2.630526315789474,11.68,13.157894736842104,2.742091278635677,44.73684210526316,42.10526315789473,13.157894736842104,45,4566909000,1000,Diversified,position_sizing_mastery,2026-09-01,Q2 2026,1
Mason Hawkins,47,2.1274468085106384,10.54,10.638297872340424,2.5523667346594445,63.82978723404256,25.53191489361702,10.638297872340424,45,1917152000,352,Diversified,position_sizing_mastery,2026-09-01,Q2 2026,1
ValueAct Capital,18,5.556111111111111,14.1,44.44444444444444,4.419265495117925,27.77777777777778,27.77777777777778,44.44444444444444,45,5634931000,664,Concentrated,position_sizing_mastery,2026-09-01,Q2 2026,1
Leon Cooperman,39,2.563846153846154,20.37,12.82051282051282,3.655848677756763,56.41025641025641,30.76923076923077,12.82051282051282,45,3547426000,1000,Diversified,position_sizing_mastery,2026-09-01,Q2 2026,1
Bruce Berkowitz,13,7.690769230769231,76.43,15.384615384615383,20.968338219618357,69.23076923076923,15.384615384615383,15.384615384615383,45,1489886000,858,Balanced,position_sizing_mastery,2026-09-01,Q2 2026,1
Lindsell Train,28,3.5703571428571435,17.49,32.142857142857146,4.986453116448572,53.57142857142857,14.285714285714285,32.142857142857146,45,2628786000,419,High Conviction,position_sizing_mastery,2026-09-01,Q2 2026,1
Wallace Weitz,50,2.0006,9.41,10.0,2.125455446990799,66.0,24.0,10.0,45,1444222000,417,Diversified,position_sizing_mastery,2026-09-01,Q2 2026,1
Glenn Welling,9,11.11,23.36,88.88888888888889,6.457712443272772,0.0,11.11111111111111,88.88888888888889,40,322915000,205,Concentrated,position_sizing_mastery,2026-09-01,Q2 2026,1
Greg Alexander,6,16.665,46.41,50.0,17.756776452948884,0.0,50.0,50.0,40,606658000,141,Concentrated,position_sizing_mastery,2026-09-01,Q2 2026,1
Bryan Lawrence,9,11.11111111111111,33.42,77.77777777777779,9.393365270823397,0.0,22.22222222222222,77.77777777777779,40,268453000,120,Concentrated,position_sizing_mastery,2026-09-01,Q2 2026,1
