manager,manager,sectors_traded,rotation_success_score,sectors_list
oaklx,Bill Nygren,6,138,"Energy, Finance, Healthcare, Industrial, Other, Technology"
CCM,Glenn Greenberg,5,125,"Energy, Finance, Healthcare, Other, Technology"
ARFFX,Charles Bobrinskoy,5,116,"Energy, Finance, Healthcare, Other, Technology"
BRK,Warren Buffett,7,112,"Consumer, Energy, Finance, Healthcare, Industrial, Other, Technology"
pzfvx,Richard Pzena,7,112,"Consumer, Energy, Finance, Healthcare, Industrial, Other, Technology"
SEQUX,Ruane Cunniff,4,109,"Finance, Healthcare, Other, Technology"
hcmax,Hillman Value Fund,6,108,"Finance, Healthcare, Industrial, Other, Real Estate, Technology"
AM,David Tepper,5,85,"Energy, Finance, Healthcare, Other, Technology"
WVALX,Wallace Weitz,3,85,"Healthcare, Other, Technology"
AC,Chuck Akre,3,81,"Finance, Other, Technology"
KB,Kahn Brothers Group,6,79,"Consumer, Energy, Finance, Other, Real Estate, Technology"
TWEBX,Tweedy Browne Co.,6,78,"Energy, Finance, Healthcare, Industrial, Other, Technology"
FPPTX,FPA Queens Road Small Cap Value Fund,6,78,"Consumer, Energy, Finance, Industrial, Other, Technology"
YAM,Yacktman Asset Management,7,77,"Consumer, Energy, Finance, Healthcare, Industrial, Other, Technology"
MPGFX,Mairs & Power Growth Fund,6,76,"Consumer, Energy, Healthcare, Industrial, Other, Technology"
LPC,Stephen Mandel,6,73,"Energy, Finance, Healthcare, Industrial, Other, Technology"
SSHFX,Harry Burn,5,73,"Energy, Finance, Healthcare, Other, Technology"
DODGX,Dodge & Cox,6,71,"Energy, Finance, Healthcare, Industrial, Other, Technology"
LLPFX,Mason Hawkins,5,71,"Energy, Finance, Healthcare, Industrial, Other"
fairx,Bruce Berkowitz,7,66,"Energy, Finance, Healthcare, Industrial, Other, Real Estate, Technology"
CAAPX,John Rogers,4,65,"Finance, Healthcare, Other, Technology"
AIM,Alex Roepers,4,64,"Energy, Industrial, Other, Technology"
EC,John Armitage,6,63,"Energy, Finance, Healthcare, Industrial, Other, Technology"
LMM,Bill Miller,8,63,"Consumer, Energy, Finance, Healthcare, Industrial, Other, Real Estate, Technology"
FPACX,Steven Romick,6,62,"Energy, Finance, Healthcare, Industrial, Other, Technology"
cc,William Von Mueffling,3,59,"Finance, Other, Technology"
oa,Leon Cooperman,5,58,"Energy, Finance, Healthcare, Other, Technology"
GC,Francois Rochon,4,58,"Finance, Healthcare, Other, Technology"
PI,Mohnish Pabrai,4,57,"Energy, Finance, Other, Technology"
BAUPOST,Seth Klarman,7,54,"Consumer, Energy, Finance, Healthcare, Industrial, Other, Technology"
