ticker,company_name,total_recent_managers,new_managers_count,recent_buy_activities,emergence_score,new_managers,total_managers,new_manager_names,_analysis_type,_generated,_periods,_window_quarters
AMZN,Amazon.com Inc.,34,8,60,480,"JIM, mc, VAN, pcm, SSHFX, GR, psc, SP",45,"Jensen Investment Management, Lee Ainslie, Arnold Van Den Berg, Polen Capital Management, Harry B...",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
UNH,United Health Group Inc.,30,10,45,450,"FE, YAM, mc, pcm, PTNT, SAM, CAU, HH, TB, CHE",38,"First Eagle Investment Management, Yacktman Asset Management, Lee Ainslie, Polen Capital Manageme...",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
MSFT,Microsoft Corp.,44,6,61,366,"FE, mc, RC, pcm, PIM, psc",48,"First Eagle Investment Management, Lee Ainslie, Ruane Cunniff LP, Polen Capital Management, Richa...",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
NVDA,NVIDIA Corp.,21,9,37,333,"JIM, mc, KB, VAN, pcm, DAC, DAV, EC, WIM",24,"Jensen Investment Management, Lee Ainslie, Kahn Brothers Group, Arnold Van Den Berg, Polen Capita...",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
TSM,Taiwan Semiconductor S.A.,25,8,28,224,"HA, FE, mc, pcm, DAC, T, DAV, WIM",28,"Bill Nygren, First Eagle Investment Management, Lee Ainslie, Polen Capital Management, Dodge & Co...",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
DIS,Walt Disney Co.,23,6,37,222,"FE, mc, vg, SE, FPA, AI",34,"First Eagle Investment Management, Lee Ainslie, Viking Global Investors, Mason Hawkins, First Pac...",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
META,Meta Platforms Inc.,32,5,44,220,"JIM, FE, pcm, CHE, psc",43,"Jensen Investment Management, First Eagle Investment Management, Polen Capital Management, Steven...",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
GOOGL,Alphabet Inc.,41,5,39,195,"BRK, FE, mc, pcm, PIM",47,"Warren Buffett, First Eagle Investment Management, Lee Ainslie, Polen Capital Management, Richard...",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
FISV,Fiserv Inc.,18,5,33,165,"FE, DAV, PC, AM, HCM",24,"First Eagle Investment Management, Christopher Davis, Norbert Lou, David Tepper, Hillman Capital ...",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
ADBE,Adobe Inc.,15,7,22,154,"HA, mc, pcm, PIM, DAV, PTNT, MKL",29,"Bill Nygren, Lee Ainslie, Polen Capital Management, Richard Pzena, Christopher Davis, Samantha Mc...",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
MELI,Mercadolibre Inc.,10,9,17,153,"mc, DAC, pcm, LMM, WIM, CAU, TGM, SAM, MKL",13,"Lee Ainslie, Dodge & Cox Funds, Polen Capital Management, Bill Miller, Wallace Weitz, Sarah Kette...",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
INTU,Intuit Inc.,19,8,19,152,"HA, YAM, mc, VAN, pcm, PIM, T, HCM",21,"Bill Nygren, Yacktman Asset Management, Lee Ainslie, Arnold Van Den Berg, Polen Capital Managemen...",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
GOOG,Alphabet Inc. CL C,34,6,24,144,"BRK, FE, mc, KB, pcm, SA",45,"Warren Buffett, First Eagle Investment Management, Lee Ainslie, Kahn Brothers Group, Polen Capita...",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
AVGO,Broadcom Inc.,14,6,22,132,"HA, JIM, tp, pcm, LPC, CAU",17,"Bill Nygren, Jensen Investment Management, Daniel Loeb, Polen Capital Management, Stephen Mandel,...",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
SUNB,Sunbelt Rentals Holdings Inc,11,11,12,132,"HA, FE, AKO, DA, RC, DAC, ABI, GR, GC, CCM, MKL",11,"Bill Nygren, First Eagle Investment Management, AKO Capital, Pat Dorsey, Ruane Cunniff LP, Dodge ...",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
TMO,Thermo Fisher Scientific,16,5,26,130,"HA, pcm, FPA, MPF, HCM",23,"Bill Nygren, Polen Capital Management, First Pacific Advisors, Mairs & Power Funds, Hillman Capit...",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
ICLR,ICON plc,11,7,18,126,"HA, mc, MUHL, pcm, SSHFX, cc, GA",12,"Bill Nygren, Lee Ainslie, Muhlenkamp, Polen Capital Management, Harry Burn, William Von Mueffling...",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
FERG,Ferguson Enterprises Inc.,12,5,25,125,"FE, mc, RC, EC, WIM",16,"First Eagle Investment Management, Lee Ainslie, Ruane Cunniff LP, John Armitage, Wallace Weitz",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
V,Visa Inc.,28,3,38,114,"pcm, mc, BAUPOST",35,"Polen Capital Management, Lee Ainslie, Seth Klarman",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
XOM,ExxonMobil Holdings Corp.,15,5,22,110,"FE, MUHL, DAV, MPF, MKL",19,"First Eagle Investment Management, Muhlenkamp, Christopher Davis, Mairs & Power Funds, Thomas Gayner",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
ACN,Accenture,12,6,16,96,"HA, FE, RC, pcm, PIM, GA",14,"Bill Nygren, First Eagle Investment Management, Ruane Cunniff LP, Polen Capital Management, Richa...",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
BRK.B,Berkshire Hathaway CL B,25,3,30,90,"ca, aq, FE",33,"Francis Chou, Guy Spier - Aquamarine Capital, First Eagle Investment Management",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
AMAT,Applied Materials,14,5,18,90,"HA, mc, PIM, MAVFX, MKL",17,"Bill Nygren, Lee Ainslie, Richard Pzena, David Katz, Thomas Gayner",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
AON,Aon Plc,12,4,21,84,"HA, DAC, pcm, BAUPOST",16,"Bill Nygren, Dodge & Cox Funds, Polen Capital Management, Seth Klarman",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
AAPL,Apple Inc.,21,3,27,81,"pcm, mc, DAV",35,"Polen Capital Management, Lee Ainslie, Christopher Davis",theme_emergence_detection,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025, Q2 2025",5
