ticker,company_name,current_price,top_managers,managers_shown,manager_count,total_value,avg_portfolio_pct,total_shares,max_portfolio_pct,portfolio_pct_std,_analysis_type,_generated,_periods,_window_quarters
GOOGL,Alphabet Inc.,356.13,"Thomas Gayner, Torray Funds, William Von Mueffling, David Katz, Lindsell Train, +35 more",5,40,31825415000,4.26,110169302,22.85,5.27,top_holdings,2026-08-01,Q2 2026,1
MSFT,Microsoft Corp.,464.72,"Thomas Gayner, Torray Funds, William Von Mueffling, David Katz, Duan Yongping, +34 more",5,39,15818122000,3.78,42725583,16.75,4.3,top_holdings,2026-08-01,Q2 2026,1
GOOG,Alphabet Inc. CL C,356.65,"Thomas Gayner, Torray Funds, John Armitage, David Katz, Duan Yongping, +30 more",5,35,18989902000,5.55,64766419,21.97,4.85,top_holdings,2026-08-01,Q2 2026,1
AMZN,Amazon.com Inc.,271.58,"Thomas Gayner, Torray Funds, John Armitage, David Katz, Lee Ainslie, +29 more",5,34,18725628000,7.39,89072055,38.2,7.76,top_holdings,2026-08-01,Q2 2026,1
META,Meta Platforms Inc.,556.71,"Thomas Gayner, David Katz, Viking Global Investors, ValueAct Capital, Bill Nygren, +24 more",5,29,13358355000,4.6,23352556,21.77,4.38,top_holdings,2026-08-01,Q2 2026,1
V,Visa Inc.,366.13,"Thomas Gayner, Torray Funds, William Von Mueffling, John Armitage, David Katz, +21 more",5,26,17937539000,4.91,58619373,20.39,4.76,top_holdings,2026-08-01,Q2 2026,1
BRK.B,Berkshire Hathaway CL B,511.54,"Thomas Gayner, Torray Funds, David Katz, Guy Spier - Aquamarine Capital, Duan Yongping, +21 more",5,26,16223904000,7.46,33783505,33.89,10.17,top_holdings,2026-08-01,Q2 2026,1
AAPL,Apple Inc.,308.91,"Thomas Gayner, Torray Funds, David Katz, Duan Yongping, Viking Global Investors, +19 more",5,24,67371990000,4.13,265263411,36.72,8.4,top_holdings,2026-08-01,Q2 2026,1
TSM,Taiwan Semiconductor S.A.,404.25,"Torray Funds, William Von Mueffling, Duan Yongping, Lee Ainslie, Viking Global Investors, +19 more",5,24,7203702000,2.92,21257529,9.03,3.05,top_holdings,2026-08-01,Q2 2026,1
DIS,Walt Disney Co.,96.19,"Thomas Gayner, Lindsell Train, Duan Yongping, Lee Ainslie, Viking Global Investors, +17 more",5,22,2972568000,1.79,30848441,9.55,2.31,top_holdings,2026-08-01,Q2 2026,1
