ticker,manager,total_value,portfolio_pct,recent_actions,action_details,periods,change_type,concentration_score,_analysis_type,_generated,_periods,_window_quarters
CVNA,Clifford Sosin,1427691000,81.67,"Reduce, Reduce",Reduce 1.49%; Reduce 5.72%,"Q1 2026, Q4 2025",Reduced,81.67,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
JOE,Bruce Berkowitz,1206398000,79.67,"Reduce, Reduce",Reduce 1.09%; Reduce 0.80%,"Q1 2026, Q4 2025",Reduced,79.67,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
IEP,Carl Icahn,4147974000,48.49,Add,Add 5.87%,Q4 2025,Increased,72.735,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
GPI,Greg Alexander,249636000,47.66,Add,Add 32.83%,Q1 2026,Increased,71.49,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
SUNB,Abrams Bison Investments,817601000,35.38,Buy,Buy,Q1 2026,New High Conviction,70.76,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
HCC,Mohnish Pabrai,168679000,39.89,Add,Add 0.61%,Q1 2026,Increased,59.835,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BRK.B,Steven Check,531140000,32.75,"Add, Add",Add 0.53%; Add 2.54%,"Q1 2026, Q4 2025",Increased,49.125,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
GE,Nelson Peltz,1143810000,29.63,Add,Add 0.01%,Q4 2025,Increased,44.445,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
MOH,Michael Burry,23920000,43.49,,,,Maintained,43.49,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
JHG-OLD,Nelson Peltz,1637049000,42.41,,,,Maintained,42.41,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AMR,Mohnish Pabrai,119003000,28.14,"Add, Add",Add 6.77%; Add 2.07%,"Q1 2026, Q4 2025",Increased,42.21,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CVI,Carl Icahn,2395943000,28.01,Add,Add 1.11%,Q1 2026,Increased,42.015,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
KEX,Alex Roepers,34150000,19.89,"Add, Buy",Add 15.25%; Buy,"Q1 2026, Q4 2025",New High Conviction,39.78,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
LOAR,David Abrams,1836158000,39.59,,,,Maintained,39.59,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BRK.A,Norbert Lou,104130000,38.47,,,,Maintained,38.47,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AMZN,AltaRock Partners,1576176000,38.2,"Add, Reduce",Add 3.46%; Reduce 3.22%,"Q1 2026, Q4 2025",Reduced,38.2,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AAPL,Duan Yongping,7346106000,36.72,"Reduce, Reduce",Reduce 10.55%; Reduce 7.09%,"Q1 2026, Q4 2025",Reduced,36.72,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BRK.B,Guy Spier - Aquamarine Capital,48838000,33.89,Reduce,Reduce 30.58%,Q4 2025,Reduced,33.89,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
MA,Valley Forge Capital Management,743242000,22.02,"Add, Add",Add 0.01%; Add 0.18%,"Q1 2026, Q4 2025",Increased,33.03,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BRK.B,Duan Yongping,4383624000,21.91,"Add, Add",Add 27.47%; Add 38.24%,"Q1 2026, Q4 2025",Increased,32.865,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
LULU,Michael Burry,17793000,32.35,,,,Maintained,32.35,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
RIG,Mohnish Pabrai,135203000,31.97,"Reduce, Add",Reduce 24.58%; Add 10.63%,"Q1 2026, Q4 2025",Reduced,31.97,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CVNA,Robert Vinall,118818000,31.05,"Add, Reduce",Add 24.36%; Reduce 31.86%,"Q1 2026, Q4 2025",Reduced,31.05,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
MSFT,Bill Ackman,2092970000,15.26,Buy,Buy,Q1 2026,New High Conviction,30.52,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
IBKR,Bryan Lawrence,69132000,30.5,,,,Maintained,30.5,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
GE,Chris Hohn,13482035000,29.85,,,,Maintained,29.85,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
EQH,Greg Alexander,155862000,29.75,,,,Maintained,29.75,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BRK.A,Francis Chou,61760000,29.72,,,,Maintained,29.72,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AMZN,Dennis Hong,38842000,14.51,"Add, Buy",Add 57.47%; Buy,"Q1 2026, Q4 2025",New High Conviction,29.02,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
DCH,Alex Roepers,22771000,13.27,"Add, Buy",Add 103.93%; Buy,"Q1 2026, Q4 2025",New High Conviction,26.54,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
VFC,Glenn Welling,79496000,26.2,"Reduce, Reduce",Reduce 11.83%; Reduce 9.48%,"Q1 2026, Q4 2025",Reduced,26.2,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AMZN,Bill Ackman,2385104000,17.39,"Add, Add",Add 19.19%; Add 64.99%,"Q1 2026, Q4 2025",Increased,26.085,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
ORLA-OLD,Prem Watsa,501579000,25.82,Reduce,Reduce 44.00%,Q4 2025,Reduced,25.82,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BRK.B,Bill & Melinda Gates Foundation Trust,8169547000,25.8,"Reduce, Reduce",Reduce 12.15%; Reduce 10.84%,"Q1 2026, Q4 2025",Reduced,25.8,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
TDG,AltaRock Partners,1053689000,25.54,"Reduce, Reduce",Reduce 6.21%; Reduce 0.72%,"Q1 2026, Q4 2025",Reduced,25.54,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AMZN,Seth Klarman,649543000,12.7,"Add, Buy",Add 47.01%; Buy,"Q1 2026, Q4 2025",New High Conviction,25.4,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BL,Glenn Welling,50602000,16.68,"Add, Add",Add 26.21%; Add 138.79%,"Q1 2026, Q4 2025",Increased,25.02,concentration_changes,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
