ticker,company_name,managers_shown,total_value,avg_portfolio_pct,active_managers,periods,buy_count,sell_count,current_holders,contrarian_score,contrarian_signal,buying_managers,selling_managers,add_count,reduce_count,_analysis_type,_generated,_periods,_window_quarters
MSFT,Microsoft Corp.,5,14687184000.0,3.94,45.0,"Q2 2026, Q1 2026, Q4 2025",54.0,63.0,37.0,526.5,Net Selling,"First Eagle Investment Management, Muhlenkamp, AltaRock Partners, Kahn Brothers Group, Viking Global Investors, +28 more","Muhlenkamp, AltaRock Partners, Kahn Brothers Group, Viking Global Investors, Daniel Loeb, +28 more",50,55,contrarian_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
GOOGL,Alphabet Inc.,5,43755497000.0,4.75,39.0,"Q2 2026, Q1 2026, Q4 2025",20.0,73.0,36.0,362.7,Net Selling,"Viking Global Investors, Daniel Loeb, Stephen Mandel, Christopher Bloomstran, Warren Buffett, +10 more","First Eagle Investment Management, AltaRock Partners, Viking Global Investors, Glenn Greenberg, Bill Ackman, +27 more",14,67,contrarian_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
AMZN,Amazon.com Inc.,5,20776721000.0,7.03,35.0,"Q2 2026, Q1 2026, Q4 2025",42.0,51.0,34.0,325.5,Net Selling,"AltaRock Partners, Viking Global Investors, Glenn Greenberg, Bill Ackman, David Rolfe, +19 more","AltaRock Partners, Viking Global Investors, Bill Ackman, Daniel Loeb, Stephen Mandel, +23 more",34,49,contrarian_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
META,Meta Platforms Inc.,5,14823867000.0,4.18,35.0,"Q2 2026, Q1 2026, Q4 2025",38.0,46.0,31.0,294.0,Net Selling,"First Eagle Investment Management, Viking Global Investors, Glenn Greenberg, Bill Ackman, Daniel Loeb, +19 more","Viking Global Investors, Bill Ackman, Daniel Loeb, Stephen Mandel, David Rolfe, +21 more",31,39,contrarian_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
GOOG,Alphabet Inc. CL C,5,30919831000.0,6.23,33.0,"Q2 2026, Q1 2026, Q4 2025",23.0,64.0,34.0,287.1,Net Selling,"First Eagle Investment Management, Kahn Brothers Group, David Tepper, Duan Yongping, Christopher Bloomstran, +11 more","First Eagle Investment Management, Kahn Brothers Group, Bill Ackman, David Tepper, Duan Yongping, +25 more",19,61,contrarian_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
V,Visa Inc.,5,22570783000.0,4.68,30.0,"Q2 2026, Q1 2026, Q4 2025",35.0,38.0,30.0,219.0,Net Selling,"AltaRock Partners, Viking Global Investors, Glenn Greenberg, Bill Ackman, Stephen Mandel, +16 more","AltaRock Partners, Glenn Greenberg, Valley Forge Capital Management, David Rolfe, Lee Ainslie, +14 more",29,36,contrarian_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
TSM,Taiwan Semiconductor S.A.,5,9742601000.0,3.37,25.0,"Q2 2026, Q1 2026, Q4 2025",20.0,43.0,24.0,157.5,Net Selling,"Viking Global Investors, Daniel Loeb, David Tepper, Duan Yongping, Lee Ainslie, +10 more","First Eagle Investment Management, Viking Global Investors, Daniel Loeb, Stephen Mandel, David Rolfe, +16 more",18,41,contrarian_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
UNH,United Health Group Inc.,5,5467811000.0,1.46,25.0,"Q2 2026, Q1 2026, Q4 2025",23.0,40.0,17.0,157.5,Net Selling,"First Eagle Investment Management, Viking Global Investors, Glenn Greenberg, Duan Yongping, Arnold Van Den Berg, +8 more","Viking Global Investors, David Tepper, Duan Yongping, Bill Nygren, Warren Buffett, +17 more",18,30,contrarian_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
DIS,Walt Disney Co.,5,2421963000.0,1.77,24.0,"Q2 2026, Q1 2026, Q4 2025",29.0,35.0,20.0,153.6,Net Selling,"First Eagle Investment Management, Viking Global Investors, Mason Hawkins, Duan Yongping, Christopher Bloomstran, +12 more","Kahn Brothers Group, Viking Global Investors, Mason Hawkins, Duan Yongping, ValueAct Capital, +14 more",27,30,contrarian_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
BRK.B,Berkshire Hathaway CL B,5,16239545000.0,7.62,24.0,"Q2 2026, Q1 2026, Q4 2025",26.0,36.0,26.0,148.8,Net Selling,"First Eagle Investment Management, Muhlenkamp, Duan Yongping, Christopher Bloomstran, Bruce Berkowitz, +8 more","Muhlenkamp, Christopher Bloomstran, Chuck Akre, Bill & Melinda Gates Foundation Trust, Bill Nygren, +14 more",25,36,contrarian_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
