ticker,company_name,current_price,manager_count,managers,total_value,avg_portfolio_pct,avg_reported_price,max_portfolio_pct,price_change_pct,52_week_low,52_week_high,52_week_position_pct,near_52w_low,value_score,recent_buys,value_type,_analysis_type,_generated,_periods,_window_quarters
AMR,Alpha Metallurgical Resources Inc.,137.16,1,Mohnish Pabrai,119003000,28.14,205.27,28.14,-33.18068884883325,113.0,253.82,17.15665388439142,True,13.2,2.0,Deep Discount,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
GPI,Group 1 Automotive,286.77,2,"Ruane Cunniff LP, Greg Alexander",250963000,23.84,330.655,47.66,-13.272141658223829,274.27,486.11,5.900679758308156,True,11.0,2.0,Deep Discount,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
RBLX,Roblox Corp.,35.6,3,"Lee Ainslie, ValueAct Capital, Henry Ellenbogen",368067000,2.06,56.55,5.79,-37.04686118479222,33.88,142.0,1.5908250092489815,True,9.3,2.0,Deep Discount,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
OLN,Olin Corp.,18.51,3,"Christopher Bloomstran, Yacktman Asset Management, Richard Pzena",313745000,3.09,29.73,7.21,-37.73965691220988,17.48,30.25,8.065779169929531,True,9.3,5.0,Deep Discount,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
QXO,Qxo Inc,13.3,2,"Samantha McLemore, Harry Burn",207953000,3.74,19.42,4.91,-31.51390319258497,13.18,27.61,0.8316008316008385,True,9.1,4.0,Deep Discount,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
LULU,Lululemon Athletica Inc.,118.87,4,"Viking Global Investors, Francois Rochon, Prem Watsa, Michael Burry",191662000,8.42,159.2725,32.35,-25.36690263542043,104.44,225.98,11.872634523613632,True,9.0,2.0,Deep Discount,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BL,BlackLine Inc.,31.4,1,Glenn Welling,50602000,16.68,37.0,16.68,-15.13513513513514,24.7,59.57,19.21422426154287,True,9.0,2.0,Deep Discount,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CSGP,CoStar Group Inc.,28.76,6,"Chase Coleman, Hillman Capital Management, Chuck Akre, Dennis Hong, Wallace Weitz, +1 more",1019929000,2.9,40.336666666666666,6.83,-28.70010742913808,25.89,97.43,4.011741682974561,True,8.8,7.0,Deep Discount,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
ACI,Albertsons Co Inc.,11.58,2,"Mason Hawkins, Harry Burn",196882000,4.29,17.04,6.22,-32.04225352112676,10.86,19.2,8.633093525179863,True,8.8,2.0,Deep Discount,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
WIX,Wix.com Ltd.,55.03,2,"ValueAct Capital, Henry Ellenbogen",277964000,1.77,87.82,1.89,-37.33773627875199,40.16,190.93,9.86270478211846,True,8.8,3.0,Deep Discount,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
TDS,Telephone & Data Systems,33.58,2,"Howard Marks, Daniel Loeb",458563000,8.77,42.1,13.34,-20.23752969121141,32.94,49.07,3.9677619342839456,True,8.8,1.0,Deep Discount,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
ZTS,Zoetis Inc.,77.29,6,"Thomas Gayner, David Rolfe, Terry Smith, Ruane Cunniff LP, Polen Capital Management, +1 more",1298246000,2.49,110.485,4.76,-30.04480246187264,70.98,157.46,7.296484736355229,True,8.7,6.0,Deep Discount,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
HCC,Warrior Met Coal Inc.,79.41,2,"Mohnish Pabrai, Third Avenue Management",202586000,22.7,93.15,39.89,-14.750402576489542,48.87,110.39,49.64239271781534,False,8.7,1.0,Deep Discount,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CVNA,Carvana Co.,62.36,7,"Lee Ainslie, Viking Global Investors, Henry Ellenbogen, Stephen Mandel, Clifford Sosin, +2 more",3419618000,17.76,62.892857142857146,81.67,-0.8472458830210164,54.46,97.38,18.40633737185461,True,8.4,6.0,52-Week Low Value,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
META,Meta Platforms Inc.,556.71,29,"Thomas Gayner, David Katz, Viking Global Investors, ValueAct Capital, Bill Nygren, +5 more",13358355000,4.6,571.4934482758621,21.77,-2.586809756168196,519.78,793.65,13.484499945229512,True,8.4,25.0,52-Week Low Value,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
ATGE,Adtalem Global Education,0.0,1,John Rogers,222580000,2.49,115.25,2.49,-100.0,0.0,0.0,50.0,False,8.1,2.0,Deep Discount,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
NFLX,Netflix Inc.,71.71,9,"Thomas Gayner, Bill Nygren, Christopher Bloomstran, Chase Coleman, Ruane Cunniff LP, +4 more",1762371000,1.84,93.42,7.8,-23.23913508884608,65.08,126.71,10.75774785007301,True,8.1,9.0,Deep Discount,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
LBRDK,Liberty Broadband Corp. CL C,34.04,4,"Bill Nygren, Ruane Cunniff LP, Wallace Weitz, First Pacific Advisors",523662000,1.65,50.3,3.34,-32.32604373757455,26.25,65.73,19.73150962512664,True,8.0,3.0,Deep Discount,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
INTU,Intuit Inc.,316.07,11,"David Katz, Lindsell Train, Lee Ainslie, Valley Forge Capital Management, Arnold Van Den Berg, +5 more",337160000,1.62,401.2063636363637,6.62,-21.22009303758892,251.72,785.27,12.06072533033455,True,7.9,10.0,Deep Discount,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AMRZ.SW,AMRIZE Ltd.,0.0,1,Leon Cooperman,49298000,1.62,56.02,1.62,-100.0,0.0,0.0,50.0,False,7.9,1.0,Deep Discount,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AEM,Agnico-Eagle Mines Ltd.,145.27,3,"Arnold Van Den Berg, First Eagle Investment Management, Muhlenkamp",1083402000,3.14,203.0233333333333,7.41,-28.446648168519207,122.78,254.61,17.059849806569073,True,7.9,1.0,Deep Discount,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
VFC,V.F. Corp.,14.32,2,"Glenn Welling, Dodge & Cox Funds",640584000,13.26,16.99,26.2,-15.715126545026475,10.87,22.15,30.585106382978733,False,7.9,2.0,Deep Discount,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
MSTR,MicroStrategy Inc.,93.28,1,Bill Miller,6497000,1.7,124.8,1.7,-25.256410256410252,81.81,414.36,3.4491053976845585,True,7.8,2.0,Deep Discount,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
WSO,Watsco Inc.,309.3,1,Thomas Gayner,249100000,1.9,416.73,1.9,-25.77928154920452,300.66,455.09,5.594767855986524,True,7.8,3.0,Deep Discount,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
RIG,Transocean Ltd.,5.32,2,"Arnold Van Den Berg, Mohnish Pabrai",135387000,16.0,6.63,31.97,-19.758672699849164,2.72,7.66,52.63157894736843,False,7.7,1.0,Deep Discount,deep_value_plays,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
