ticker,company_name,current_price,manager_count,managers,total_value,avg_portfolio_pct,max_portfolio_pct,total_shares,latest_date,recent_activity_score,price_momentum_score,manager_quality_score,hidden_gem_score,gem_type,first_discovered,_analysis_type,_generated,_periods,_window_quarters
JOE,St. Joe Co.,65.42,1,Bruce Berkowitz,1138762000,76.43,76.43,18182367,30 Jun 2026,0.0,0.2804428044280442,1.0,2.271,Conviction Play,,hidden_gems,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
IEP,Icahn Enterprises,6.8,1,Carl Icahn,4458616000,53.95,53.95,618393343,30 Jun 2026,0.2,0.395061728395062,1.0,1.868,Conviction Play,,hidden_gems,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AMR,Alpha Metallurgical Resources Inc.,233.29,1,Mohnish Pabrai,85306000,26.11,26.11,517194,30 Jun 2026,0.2,0.1708270926942919,1.3,1.661,Conviction Play,,hidden_gems,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
HHH,Howard Hughes Holdings Inc.,63.18,1,Bill Ackman,1991144000,10.23,10.23,27852064,30 Jun 2026,0.1,0.9278110445775116,1.4,1.482,Value Opportunity,,hidden_gems,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
EWBC,East West Bancorp,128.97,1,Li Lu,358399000,9.68,9.68,2776351,30 Jun 2026,0.1,0.1803522172713771,1.5,1.384,Conviction Play,Q1 2026,hidden_gems,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
JHG-OLD,Janus Henderson Group,51.98,1,Nelson Peltz,1334028000,31.53,31.53,25654382,30 Jun 2026,0.0,0.1126582278481012,1.0,1.347,Conviction Play,,hidden_gems,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
GPI,Group 1 Automotive,276.41,2,"Ruane Cunniff LP, Greg Alexander",282983000,23.22,46.41,971884,30 Jun 2026,0.4,0.8840272777330678,1.0,1.282,Value Opportunity,,hidden_gems,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CVI,CVR Energy Inc.,42.92,1,Carl Icahn,1960900000,23.73,23.73,71201875,30 Jun 2026,0.1,0.1,1.0,1.205,Conviction Play,,hidden_gems,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
GXO,Gxo Logistics Inc.,46.37,1,Glenn Welling,49928000,15.46,15.46,984769,30 Jun 2026,0.1,0.9372997711670482,1.0,1.165,Value Opportunity,,hidden_gems,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
RIG,Transocean Ltd.,6.22,2,"Arnold Van Den Berg, Mohnish Pabrai",99838000,15.28,30.53,20416924,30 Jun 2026,0.2,0.3044397463002116,1.15,1.157,Under-Radar,,hidden_gems,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
