ticker,company_name,current_price,manager_count,managers,total_value,avg_portfolio_pct,max_portfolio_pct,total_shares,conviction_price_score,recent_buys,opportunity_type,_analysis_type,_generated,_periods,_window_quarters
IEP,Icahn Enterprises,6.8,1,Carl Icahn,4458616000,53.95,53.95,618393343,127.1,2.0,Deep Conviction Bargain,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
RIG,Transocean Ltd.,6.22,1,Mohnish Pabrai,99749000,30.53,30.53,20398659,80.84,2.0,Deep Conviction Bargain,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
ORLA-OLD,Orla Mining Ltd,9.45,1,Prem Watsa,568456000,21.55,21.55,58399504,59.650000000000006,2.0,Deep Conviction Bargain,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
VFC,V.F. Corp.,13.22,1,Glenn Welling,75425000,23.36,23.36,4521894,59.5,1.0,High Conviction Low Price,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CNH,CNH Industrial NV,13.65,1,Tweedy Browne,225901000,17.11,17.11,20115883,46.57,4.0,High Conviction Low Price,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
UAA,Under Armour Inc.,5.15,1,Prem Watsa,289831000,10.98,10.98,45356965,42.81,3.0,Deep Conviction Bargain,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
EVH,Evolent Health Inc.,4.23,1,Glenn Welling,30156000,9.34,9.34,5563912,40.45,2.0,High Conviction Low Price,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BAYRY,Bayer Ag Sponsored ADR,14.12,1,Kahn Brothers Group,89308000,14.12,14.12,6518603,40.12,1.0,High Conviction Low Price,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AIIR,Air Holdings Ltd,7.4,1,Greg Alexander,64381000,10.61,10.61,9666791,39.82,1.0,Deep Conviction Bargain,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
XRAY,DENTSPLY SIRONA Inc.,11.29,1,Alex Roepers,23374000,12.18,12.18,2203000,39.07,7.0,High Conviction Low Price,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
RKT,Rocket Companies Inc.,13.56,2,"ValueAct Capital, Leon Cooperman",987294000,10.49,11.65,62685374,36.74,11.0,High Conviction Low Price,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
GTN,Gray Television Inc.,4.93,1,Bill Miller,28756000,6.8,6.8,7243390,34.67,3.0,High Conviction Low Price,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
FLG,Flagstar Financial Inc.,13.49,1,Kahn Brothers Group,60876000,9.62,9.62,4074720,31.75,2.0,High Conviction Low Price,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
PTLO,Portillo's Inc Cl A,4.5,1,Glenn Welling,16320000,5.05,5.05,3442990,31.6,2.0,High Conviction Low Price,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
UA,Under Armour CL C,5.03,1,Prem Watsa,136615000,5.18,5.18,21999128,31.33,2.0,High Conviction Low Price,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
WEN,Wendy's Co.,8.24,1,Nelson Peltz,252583000,5.97,5.97,30468434,29.7,6.0,High Conviction Low Price,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
NOMD,Nomad Foods Ltd,11.59,1,Alex Roepers,14605000,7.61,7.61,1333772,29.630000000000003,2.0,High Conviction Low Price,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
MAT,Mattel Inc.,14.64,1,Mason Hawkins,171036000,8.92,8.92,12322555,29.2,5.0,High Conviction Low Price,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CCL,Carnival Corp.,23.74,1,Sarah Ketterer,1176816000,12.78,12.78,41190606,27.82,5.0,High Conviction Low Price,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BLMN,Bloomin Brands Inc.,9.93,1,Bill Miller,23635000,5.59,5.59,2585909,27.25,2.0,High Conviction Low Price,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
RYN,Rayonier Inc.,20.23,1,Mason Hawkins,201976000,10.54,10.54,9491347,26.85,2.0,High Conviction Low Price,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
QUAD,Quad/Graphics Inc.,10.39,1,Bill Miller,21398000,5.06,5.06,2538299,25.73,1.0,High Conviction Low Price,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
ACI,Albertsons Co Inc.,12.48,1,Mason Hawkins,116848000,6.09,6.09,8636262,25.7,3.0,High Conviction Low Price,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CLF,Cleveland-Cliffs Inc.,12.42,1,Prem Watsa,139904000,5.3,5.3,14899273,24.18,1.0,High Conviction Low Price,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
CPNG,Coupang Inc.,15.97,1,Dennis Hong,15982000,6.89,6.89,920068,23.81,12.0,High Conviction Low Price,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
OGN,Organon & Co.,13.77,1,Kahn Brothers Group,36159000,5.72,5.72,2670523,23.67,2.0,High Conviction Low Price,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
GPGI,GPGI Inc.,14.25,1,Leon Cooperman,180444000,5.09,5.09,11384508,21.93,2.0,High Conviction Low Price,high_conviction_low_price,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
