ticker,company_name,current_price,manager,total_value,portfolio_pct,risk_level,_analysis_type,_generated,_periods,_window_quarters
CVNA,Carvana Co.,73.46,Clifford Sosin,1484871000,78.85,Extreme,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
JOE,St. Joe Co.,66.1,Bruce Berkowitz,1138762000,76.43,Extreme,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
IEP,Icahn Enterprises,6.8,Carl Icahn,4458616000,53.95,Extreme,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
LOAR,Loar Holdings Inc,70.19,David Abrams,2583570000,47.15,Extreme,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
GPI,Group 1 Automotive,269.54,Greg Alexander,281561000,46.41,Extreme,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
MOH,Molina Healthcare Inc.,198.77,Michael Burry,23920000,43.49,Extreme,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
HCC,Warrior Met Coal Inc.,108.24,Mohnish Pabrai,141547000,43.32,Extreme,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
BRK.A,Berkshire Hathaway CL A,756650.01,Norbert Lou,108583000,42.42,Extreme,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
AAPL,Apple Inc.,316.85,Duan Yongping,7841282000,41.05,Extreme,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
GE,GE Aerospace,335.71,Nelson Peltz,1506418000,35.61,Extreme,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
BRK.B,Berkshire Hathaway CL B,504.03,Guy Spier - Aquamarine Capital,48838000,33.89,Extreme,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
GE,GE Aerospace,335.71,Chris Hohn,17725354000,33.59,Extreme,highest_portfolio_concentration,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
