ticker,company_name,managers_shown,total_value,unique_sellers,selling_managers,periods,shares_sold,remaining_holders,exit_rate_pct,total_sells,exit_status,buy_count,add_count,reduce_count,sell_count,_analysis_type,_generated,_periods,_window_quarters
MSFT,Microsoft Corp.,5,15818122000.0,30,"Torray Funds, William Von Mueffling, John Armitage, Lee Ainslie, Viking Global Investors, +5 more","Q4 2025, Q2 2026, Q1 2026",39233850,39.0,43.47826086956522,45,Light Selling,0,0,41,4,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
GOOG,Alphabet Inc. CL C,5,18989902000.0,29,"Torray Funds, John Armitage, David Katz, Lee Ainslie, Bill Nygren, +5 more","Q4 2025, Q2 2026, Q1 2026",14741561,35.0,45.3125,48,Light Selling,0,0,46,2,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
GOOGL,Alphabet Inc.,5,31825415000.0,28,"Torray Funds, William Von Mueffling, David Katz, Lindsell Train, Guy Spier - Aquamarine Capital, +5 more","Q4 2025, Q2 2026, Q1 2026",21872961,40.0,41.17647058823529,51,Light Selling,0,0,49,2,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
META,Meta Platforms Inc.,5,13358355000.0,27,"Thomas Gayner, John Armitage, Viking Global Investors, ValueAct Capital, Bill Ackman, +5 more","Q4 2025, Q2 2026, Q1 2026",4150585,29.0,48.21428571428572,34,Light Selling,0,0,28,6,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
UNH,United Health Group Inc.,5,4031862000.0,20,"Thomas Gayner, Torray Funds, David Katz, Viking Global Investors, Bill Nygren, +5 more","Q4 2025, Q2 2026, Q1 2026",7609710,18.0,52.63157894736842,30,Partial Exit,0,0,22,8,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
TSM,Taiwan Semiconductor S.A.,5,7203702000.0,20,"Torray Funds, William Von Mueffling, Duan Yongping, Lee Ainslie, Viking Global Investors, +5 more","Q4 2025, Q2 2026, Q1 2026",11609859,24.0,45.45454545454545,30,Light Selling,0,0,29,1,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AMZN,Amazon.com Inc.,5,18725628000.0,20,"Torray Funds, John Armitage, David Katz, Lee Ainslie, Viking Global Investors, +5 more","Q4 2025, Q2 2026, Q1 2026",30438151,34.0,37.03703703703704,33,Light Selling,0,0,31,2,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BAC,Bank of America Corp.,5,26719674000.0,18,"David Katz, Guy Spier - Aquamarine Capital, Lee Ainslie, Viking Global Investors, Li Lu, +5 more","Q4 2025, Q2 2026, Q1 2026",99773499,16.0,52.94117647058824,31,Partial Exit,0,0,28,3,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BRK.B,Berkshire Hathaway CL B,5,16223904000.0,18,"Torray Funds, David Katz, Guy Spier - Aquamarine Capital, Bruce Berkowitz, Bill Nygren, +5 more","Q4 2025, Q1 2026",5017470,26.0,40.909090909090914,26,Light Selling,0,0,26,0,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
V,Visa Inc.,5,17937539000.0,18,"Torray Funds, William Von Mueffling, David Katz, Bill Nygren, Glenn Greenberg, +5 more","Q4 2025, Q2 2026, Q1 2026",15430697,26.0,40.909090909090914,28,Light Selling,0,0,26,2,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
COF,Capital One Financial,5,8969457000.0,16,"John Armitage, Abrams Bison Investments, Lee Ainslie, Viking Global Investors, Bill Nygren, +5 more","Q4 2025, Q1 2026",14718344,16.0,50.0,28,Partial Exit,0,0,24,4,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AAPL,Apple Inc.,5,67371990000.0,16,"Torray Funds, David Katz, Duan Yongping, Lee Ainslie, Bill Nygren, +5 more","Q4 2025, Q2 2026, Q1 2026",16963186,24.0,40.0,24,Light Selling,0,0,23,1,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
MA,Mastercard Inc.,5,4789957000.0,15,"John Armitage, Guy Spier - Aquamarine Capital, Bill Nygren, Warren Buffett, Stephen Mandel, +5 more","Q4 2025, Q2 2026, Q1 2026",6549087,20.0,42.85714285714285,24,Light Selling,0,0,23,1,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
DIS,Walt Disney Co.,5,2972568000.0,14,"Lindsell Train, Duan Yongping, Lee Ainslie, ValueAct Capital, Bill Nygren, +5 more","Q4 2025, Q2 2026, Q1 2026",7249319,22.0,38.88888888888889,23,Light Selling,0,0,21,2,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
AXP,American Express,5,46837611000.0,13,"Torray Funds, David Katz, Lindsell Train, Guy Spier - Aquamarine Capital, Bill Nygren, +5 more","Q4 2025, Q2 2026, Q1 2026",442436,15.0,46.42857142857143,26,Light Selling,0,0,25,1,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
INTU,Intuit Inc.,5,337160000.0,12,"Torray Funds, David Katz, Lindsell Train, Lee Ainslie, Viking Global Investors, +5 more","Q4 2025, Q2 2026, Q1 2026",3318146,11.0,52.17391304347826,18,Partial Exit,0,0,13,5,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
WFC,Wells Fargo,5,5046159000.0,12,"David Katz, Bill Nygren, Dodge & Cox Funds, First Pacific Advisors, Mairs & Power Funds, +5 more","Q4 2025, Q1 2026",12496883,15.0,44.44444444444444,21,Light Selling,0,0,21,0,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
JPM,JPMorgan Chase & Co.,5,1603483000.0,12,"Torray Funds, Greenhaven Associates, David Katz, Viking Global Investors, Bill Nygren, +5 more","Q4 2025, Q2 2026, Q1 2026",4021222,16.0,42.85714285714285,18,Light Selling,0,0,18,0,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
NVDA,NVIDIA Corp.,5,8023127000.0,12,"Torray Funds, David Katz, Bill Nygren, Daniel Loeb, David Tepper, +5 more","Q4 2025, Q2 2026, Q1 2026",7522972,19.0,38.70967741935484,19,Light Selling,0,0,18,1,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BABA,Alibaba Group Holdings,5,1860540000.0,10,"Guy Spier - Aquamarine Capital, Duan Yongping, Daniel Loeb, David Tepper, Dennis Hong, +5 more","Q4 2025, Q1 2026",8451358,8.0,55.55555555555556,15,Partial Exit,0,0,10,5,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
BN,Brookfield Corp.,5,6773441000.0,10,"Thomas Gayner, Bill Ackman, Daniel Loeb, Stephen Mandel, Arnold Van Den Berg, +5 more","Q4 2025, Q1 2026",25564349,9.0,52.63157894736842,17,Partial Exit,0,0,15,2,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
PG,Procter & Gamble,5,1101202000.0,10,"David Katz, Lee Ainslie, Bill Nygren, Terry Smith, Dodge & Cox Funds, +5 more","Q4 2025, Q1 2026",877395,9.0,52.63157894736842,12,Partial Exit,0,0,10,2,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
DHR,Danaher Corp.,5,537279000.0,10,"David Katz, Lee Ainslie, Viking Global Investors, Bill Nygren, Daniel Loeb, +5 more","Q4 2025, Q2 2026, Q1 2026",4675983,10.0,50.0,17,Partial Exit,0,0,14,3,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
TMO,Thermo Fisher Scientific,5,1317442000.0,10,"William Von Mueffling, David Katz, Lindsell Train, Bill Nygren, Daniel Loeb, +5 more","Q4 2025, Q2 2026, Q1 2026",1371972,10.0,50.0,15,Partial Exit,0,0,11,4,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
SCHW,Charles Schwab Corp.,5,11651592000.0,10,"Greenhaven Associates, Lee Ainslie, Viking Global Investors, Bill Nygren, Francois Rochon, +5 more","Q4 2025, Q1 2026",14221991,11.0,47.61904761904761,14,Light Selling,0,0,13,1,most_sold_stocks,2026-09-03,"Q2 2026, Q1 2026, Q4 2025",3
