ticker,company_name,top_managers,managers_shown,manager_count,trend,momentum,buys,adds,reduces,sells,recent_activity,_analysis_type,_generated,_periods,_window_quarters
MSFT,Microsoft Corp.,"Terry Smith, John Armitage, Stephen Mandel",3,48,Slight Distribute,-14.6,25,209,298,16,114,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
GOOGL,Alphabet Inc.,"David Rolfe, Glenn Greenberg, William Von Mueffling",3,47,Distributing,-24.1,36,142,265,26,93,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
AMZN,Amazon.com Inc.,"Stephen Mandel, David Tepper, John Armitage",3,45,Slight Distribute,-4.1,33,155,180,24,89,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
GOOG,Alphabet Inc. CL C,"Pat Dorsey, John Armitage, David Tepper",3,45,Distributing,-32.0,19,137,290,13,89,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
META,Meta Platforms Inc.,"Pat Dorsey, David Rolfe, Stephen Mandel",3,43,Slight Distribute,-16.5,35,173,258,32,85,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
V,Visa Inc.,"David Rolfe, Terry Smith, AKO Capital",3,35,Slight Distribute,-17.0,17,147,218,13,72,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
UNH,United Health Group Inc.,"Stephen Mandel, David Tepper, Glenn Greenberg",3,38,Slight Distribute,-17.7,29,87,132,34,69,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
DIS,Walt Disney Co.,"Lindsell Train, Christopher Bloomstran, Francois Rochon",3,34,Slight Distribute,-5.4,19,112,130,16,63,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
TSM,Taiwan Semiconductor S.A.,"William Von Mueffling, David Rolfe, Stephen Mandel",3,28,Slight Distribute,-15.7,20,71,118,7,61,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
BRK.B,Berkshire Hathaway CL B,"Bill & Melinda Gates Foundation Trust, Chuck Akre, Bruce Berkowitz",3,33,Distributing,-34.7,12,135,289,14,61,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
AAPL,Apple Inc.,"David Rolfe, Warren Buffett, Francois Rochon",3,35,Slight Distribute,-8.7,24,97,128,16,53,stock_timelines,2026-09-03,"Q2 2026, Q1 2026, Q4 2025, Q3 2025",4
