ticker,company_name,current_price,managers,total_value,avg_portfolio_pct,index,manager_count,total_shares,max_portfolio_pct,buy_count,last_buy_period,price_opportunity_score,price_category
BB,BlackBerry Ltd.,4.1,"Meridian Contrarian Fund
Prem Watsa",181347000,5.38,9,2,48226533,9.52,0.0,,9.375,Ultra-Low Price
GCI,Gannett Co.,3.8,"Leon Cooperman
Bill Miller",22571000,2.07,29,2,7810015,3.57,0.0,,6.074999999999999,Ultra-Low Price
CLVT,Clarivate Plc,4.47,"Lee Ainslie
Seth Klarman",42908000,0.62,18,2,10917958,1.22,0.0,,4.615,Ultra-Low Price
RCKT,Rocket Pharmaceuticals Inc.,3.36,"Lee Ainslie
Torray Funds",35461000,0.37,60,2,5316519,0.62,0.0,,4.37,Ultra-Low Price
MX,MagnaChip Semiconductor Corp.,4.26,"Howard Marks
Prem Watsa",10204000,0.13,48,2,2974858,0.24,0.0,,4.13,Ultra-Low Price
HTZWW,Hertz Global Hldgs Inc. WTS,4.2,"Daniel Loeb
Francis Chou",8974000,0.07,36,2,3971000,0.14,0.0,,4.07,Ultra-Low Price
NUVB,Nuvation Bio Inc.,2.56,"David Einhorn
David Abrams",6770000,0.06,53,2,3846508,0.12,0.0,,4.06,Ultra-Low Price
BTG,B2Gold Corp.,3.51,"Sarah Ketterer
First Eagle Investment Management",36774000,0.04,14,2,12936592,0.08,0.0,,4.045,Ultra-Low Price
LYG,Lloyds TSB Grp Plc ADR,4.29,"Lee Ainslie
First Eagle Investment Management",24456000,0.03,44,2,6402176,0.05,0.0,,4.03,Ultra-Low Price
BRCC,BRC Inc.,1.97,Glenn Welling,28289000,7.21,11,1,13535560,7.21,0.0,,9.21,Ultra-Low Price
BLND,Blend Labs Inc.,3.62,Dennis Hong,29852000,4.1,10,1,8911039,4.1,0.0,,6.1,Ultra-Low Price
RMNI,Rimini Street Inc.,4.76,Greg Alexander,20578000,3.12,65,1,5913199,3.12,0.0,,5.12,Ultra-Low Price
