ticker,company_name,current_price,manager_count,managers,total_value,avg_portfolio_pct,avg_reported_price,max_portfolio_pct,price_change_pct,52_week_low,discount_to_52w_low_pct,recent_buy_count,value_opportunity_score,value_type,_analysis_type,_generated,_periods,_window_quarters
MSFT,Microsoft Corp.,507.29,37,"First Eagle Investment Management, Muhlenkamp, AltaRock Partners, Kahn Brothers Group, Viking Global Investors, +5 more",14687184000,3.94,373.06054054054056,20.54,35.98061034945418,348.54,45.54713949618408,54.0,95.69439978194757,Active Accumulation,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
AMZN,Amazon.com Inc.,259.77,34,"AltaRock Partners, Viking Global Investors, Glenn Greenberg, Bill Ackman, Daniel Loeb, +5 more",20776721000,7.03,238.3473529411765,32.21,8.987994535903464,196.0,32.53571428571428,42.0,82.8902731092437,Active Accumulation,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
META,Meta Platforms Inc.,572.34,31,"First Eagle Investment Management, Viking Global Investors, Glenn Greenberg, Bill Ackman, David Rolfe, +5 more",14823867000,4.18,563.2896774193548,20.45,1.606690650201192,519.78,10.111970449036145,38.0,75.58407889690304,Active Accumulation,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
V,Visa Inc.,379.37,30,"AltaRock Partners, Viking Global Investors, Glenn Greenberg, Bill Ackman, Stephen Mandel, +5 more",22570783000,4.68,343.073,19.83,10.579964030978838,292.74,29.592812734850032,35.0,70.86152602992416,Active Accumulation,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
GOOG,Alphabet Inc. CL C,335.41,34,"First Eagle Investment Management, Kahn Brothers Group, Glenn Greenberg, David Tepper, Duan Yongping, +5 more",30919831000,6.23,353.33029411764704,23.39,-5.0718249796266175,206.37,62.52846828511897,23.0,63.00191216990467,Active Accumulation,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
GOOGL,Alphabet Inc.,339.35,36,"First Eagle Investment Management, AltaRock Partners, Glenn Greenberg, Daniel Loeb, Stephen Mandel, +5 more",43755497000,4.75,354.31972222222225,24.55,-4.224919270182065,205.61,65.04547444190457,20.0,60.96576568749674,Active Accumulation,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
BRK.B,Berkshire Hathaway CL B,504.03,26,"First Eagle Investment Management, Muhlenkamp, Duan Yongping, Christopher Bloomstran, Chuck Akre, +5 more",16239545000,7.62,500.3842307692308,33.89,0.7285939497263175,464.01,8.624814120385333,26.0,60.37914390936535,Active Accumulation,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
DIS,Walt Disney Co.,107.55,20,"First Eagle Investment Management, Kahn Brothers Group, Viking Global Investors, Duan Yongping, Christopher Bloomstran, +5 more",2421963000,1.77,96.252,9.55,11.737937912978436,91.48,17.56668124180148,29.0,54.00816593790992,Near 52W Low,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
TSM,Taiwan Semiconductor S.A.,415.32,24,"First Eagle Investment Management, Viking Global Investors, Daniel Loeb, Stephen Mandel, David Rolfe, +5 more",9742601000,3.37,477.5475,10.55,-13.030640931006856,223.2,86.0752688172043,20.0,48.986739745341154,Active Accumulation,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
MA,Mastercard Inc.,589.31,21,"AltaRock Partners, Glenn Greenberg, Bill Ackman, Valley Forge Capital Management, Christopher Bloomstran, +5 more",6148680000,5.54,513.6185714285714,20.01,14.736894805205642,463.74,27.07767283391554,17.0,44.41635445354232,Active Accumulation,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
UNH,United Health Group Inc.,389.41,17,"First Eagle Investment Management, Glenn Greenberg, Duan Yongping, Chase Coleman, Hillman Capital Management, +5 more",5467811000,1.46,415.5958823529412,6.05,-6.300804089945975,254.51,53.00381124513773,23.0,44.339087902791135,Value Opportunity,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
NVDA,NVIDIA Corp.,220.78,18,"David Tepper, Duan Yongping, Lee Ainslie, Bill Nygren, Chase Coleman, +5 more",7261980000,3.28,200.0822222222222,9.34,10.344636094050228,163.85,34.745193774794025,19.0,41.90246253348252,Active Accumulation,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
AAPL,Apple Inc.,316.85,22,"Muhlenkamp, Kahn Brothers Group, David Rolfe, Duan Yongping, Christopher Bloomstran, +5 more",74939400000,4.56,289.32318181818187,41.05,9.514211066265933,225.12,40.747157071783946,13.0,40.24286941913808,Active Accumulation,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
SPGI,S&P Global Inc.,435.84,14,"Glenn Greenberg, Bill Ackman, Valley Forge Capital Management, David Rolfe, Christopher Bloomstran, +5 more",7846649000,4.28,407.2507142857143,19.92,7.0200701217747445,360.09,21.03640756477548,18.0,38.0871081931898,Active Accumulation,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
CMCSA,Comcast Corp.,26.62,14,"First Eagle Investment Management, Glenn Greenberg, David Einhorn, Bill Nygren, First Pacific Advisors, +5 more",4357701000,1.07,24.549285714285716,3.15,8.434926823591038,21.28,25.09398496240601,19.0,37.2803007518797,Value Opportunity,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
FERG,Ferguson Enterprises Inc.,224.51,11,"First Eagle Investment Management, Henry Ellenbogen, First Pacific Advisors, Francois Rochon, Ruane Cunniff LP, +5 more",1963409000,2.53,237.29636363636365,6.88,-5.388352118179808,203.74,10.194365367625394,18.0,35.83295215525469,Near 52W Low,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
IEP,Icahn Enterprises,6.8,1,Carl Icahn,4458616000,53.95,7.21,53.95,-5.686546463245494,5.82,16.83848797250858,2.0,35.27038489402367,Near 52W Low,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
FISV,Fiserv Inc.,53.31,9,"First Eagle Investment Management, Bill Nygren, John Rogers, Hillman Capital Management, Mairs & Power Funds, +4 more",4344248000,1.19,49.05,2.79,8.685015290519889,47.04,13.329081632653066,21.0,34.92799036281179,Near 52W Low,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
UBER,Uber Technologies Inc.,75.65,11,"Bill Ackman, David Tepper, Chase Coleman, First Pacific Advisors, Pat Dorsey, +5 more",4488951000,3.88,72.16,12.72,4.83647450110866,65.41,15.65509860877543,17.0,34.15815416047032,Active Accumulation,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
AVGO,Broadcom Inc.,370.34,13,"David Tepper, Lee Ainslie, Bill Nygren, Chase Coleman, First Pacific Advisors, +5 more",1752812000,2.32,377.7376923076923,10.61,-1.958420474932759,285.08,29.907394415602635,16.0,34.055929758821804,Value Opportunity,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
COF,Capital One Financial,214.51,16,"Viking Global Investors, Glenn Greenberg, Daniel Loeb, Abrams Bison Investments, Lee Ainslie, +5 more",8654828000,2.41,200.630625,7.13,6.917874576725254,173.62,23.551434166570665,13.0,34.02711579167146,Value Opportunity,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
TMO,Thermo Fisher Scientific,617.1,11,"Viking Global Investors, First Pacific Advisors, Hillman Capital Management, Arnold Van Den Berg, Mairs & Power Funds, +5 more",3084625000,2.24,501.34363636363634,9.81,23.08922568080686,434.83,41.9175309891222,19.0,34.026396177816615,Value Opportunity,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
SUNB,Sunbelt Rentals Holdings Inc,72.28,11,"Glenn Greenberg, Christopher Bloomstran, Abrams Bison Investments, Bill Nygren, Francois Rochon, +5 more",6431651000,3.46,75.99363636363637,10.59,-4.886772815905644,60.4,19.66887417218544,15.0,32.724819945480945,Active Accumulation,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
GLD,SPDR Gold Trust,408.42,6,"First Eagle Investment Management, Muhlenkamp, David Einhorn, Francois Rochon, Mairs & Power Funds, +1 more",983419000,0.92,1383.4566666666667,2.35,-70.4782947062551,320.24,27.53559830127405,8.0,32.17971235952065,Price Discount,value_price_opportunities,2026-09-01,"Q2 2026, Q1 2026, Q4 2025",3
