ticker,company_name,first_year,last_year,years_tracked,total_actions,unique_managers,currently_held,total_buys,total_sells,total_adds,total_reduces,first_buy_period,complete_exit_count,accumulation_score,life_cycle_score,_analysis_type,_generated,_periods,_window_quarters
MSFT,Microsoft Corp.,2013,2026,14,548,48,True,25,16,209,298,Q1 2013,16,-80,100.0,stock_life_cycles,2026-09-03,Q1 2007 to Q2 2026,78
AMZN,Amazon.com Inc.,2018,2026,9,392,45,True,33,24,155,180,Q1 2019,24,-16,97.9,stock_life_cycles,2026-09-03,Q1 2007 to Q2 2026,78
GOOGL,Alphabet Inc.,2012,2026,15,469,47,True,36,26,142,265,Q4 2017,26,-113,95.2,stock_life_cycles,2026-09-03,Q1 2007 to Q2 2026,78
META,Meta Platforms Inc.,2017,2026,10,498,43,True,35,32,173,258,Q1 2018,32,-82,87.8,stock_life_cycles,2026-09-03,Q1 2007 to Q2 2026,78
GOOG,Alphabet Inc. CL C,2014,2026,13,459,45,True,19,13,137,290,Q4 2014,13,-147,86.8,stock_life_cycles,2026-09-03,Q1 2007 to Q2 2026,78
UNH,United Health Group Inc.,2008,2026,19,282,38,True,29,34,87,132,Q3 2008,34,-50,85.5,stock_life_cycles,2026-09-03,Q1 2007 to Q2 2026,78
DIS,Walt Disney Co.,2008,2026,19,277,34,True,19,16,112,130,Q4 2016,16,-15,81.0,stock_life_cycles,2026-09-03,Q1 2007 to Q2 2026,78
AAPL,Apple Inc.,2012,2026,15,265,35,True,24,16,97,128,Q3 2013,16,-23,80.2,stock_life_cycles,2026-09-03,Q1 2007 to Q2 2026,78
V,Visa Inc.,2008,2026,19,395,35,True,17,13,147,218,Q3 2008,13,-67,77.8,stock_life_cycles,2026-09-03,Q1 2007 to Q2 2026,78
ADBE,Adobe Inc.,2012,2026,15,180,29,True,18,21,69,72,Q1 2019,21,-6,69.9,stock_life_cycles,2026-09-03,Q1 2007 to Q2 2026,78
BABA,Alibaba Group Holdings,2018,2026,9,191,31,True,23,29,61,78,Q2 2019,29,-23,69.2,stock_life_cycles,2026-09-03,Q1 2007 to Q2 2026,78
BRK.B,Berkshire Hathaway CL B,2007,2026,20,450,33,True,12,14,135,289,Q3 2009,14,-156,65.4,stock_life_cycles,2026-09-03,Q1 2007 to Q2 2026,78
CMCSA,Comcast Corp.,2007,2026,20,163,25,True,13,13,69,68,Q4 2007,13,1,65.1,stock_life_cycles,2026-09-03,Q1 2007 to Q2 2026,78
BAC,Bank of America Corp.,2010,2026,17,224,29,True,14,17,64,129,Q1 2010,17,-68,64.7,stock_life_cycles,2026-09-03,Q1 2007 to Q2 2026,78
MA,Mastercard Inc.,2008,2026,19,288,28,True,16,14,98,160,Q3 2008,14,-60,64.5,stock_life_cycles,2026-09-03,Q1 2007 to Q2 2026,78
TSM,Taiwan Semiconductor S.A.,2017,2026,10,216,28,True,20,7,71,118,Q3 2017,7,-34,62.6,stock_life_cycles,2026-09-03,Q1 2007 to Q2 2026,78
FISV,Fiserv Inc.,2010,2026,17,161,24,True,18,20,56,67,Q2 2010,20,-13,60.2,stock_life_cycles,2026-09-03,Q1 2007 to Q2 2026,78
NVDA,NVIDIA Corp.,2019,2026,8,121,24,True,22,8,48,43,Q3 2019,8,19,58.9,stock_life_cycles,2026-09-03,Q1 2007 to Q2 2026,78
WFC,Wells Fargo,2009,2026,18,201,27,True,12,14,39,136,Q1 2009,14,-99,58.1,stock_life_cycles,2026-09-03,Q1 2007 to Q2 2026,78
TMO,Thermo Fisher Scientific,2017,2026,10,160,23,True,16,16,60,68,Q1 2017,16,-8,55.2,stock_life_cycles,2026-09-03,Q1 2007 to Q2 2026,78
